epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.50053,1.4476,3.93814,1.4671,0.00334,1,0.24502,0.15366,1.01772,3.84136,1.0783,0.00024293,0.00024293,0.00024293
2,17.3292,1.10357,2.09102,1.16245,0.00334,1,0.74732,0.51775,0.83049,3.44692,0.95275,0.000500028,0.000500028,0.000500028
3,25.0305,0.98667,1.58071,1.0742,0.00341,1,0.84217,0.66344,0.84844,3.23656,1.03778,0.00075663,0.00075663,0.00075663
4,32.7239,0.99919,1.36961,1.07194,1,0.29043,0.86133,0.66112,0.88712,2.90231,1.0726,0.00101236,0.00101236,0.00101236
5,40.4795,1.00513,1.35291,1.07712,1,0.8763,0.98281,0.752,0.91263,2.15445,1.08634,0.00126685,0.00126685,0.00126685
6,48.1837,0.94749,1.2628,1.06406,0.91542,0.91336,0.9849,0.7691,0.8956,1.65147,1.0702,0.00142029,0.00142029,0.00142029
7,55.9519,0.93647,1.21092,1.05128,0.98791,0.99836,0.995,0.80831,0.76262,1.39732,1.021,0.00141647,0.00141647,0.00141647
8,63.7908,0.94212,1.15211,1.04748,0.9074,0.97526,0.99041,0.78073,0.91004,1.40685,1.08899,0.00141196,0.00141196,0.00141196
9,71.5076,0.94545,1.06559,1.07614,0.9674,0.93034,0.9924,0.75083,0.94798,1.10311,1.05787,0.00140678,0.00140678,0.00140678
10,79.22,0.92385,0.97668,1.0428,0.97019,1,0.99265,0.80682,0.80272,0.90181,0.98158,0.00140091,0.00140091,0.00140091
11,87.0036,0.92287,0.91776,1.04089,0.97815,0.99393,0.995,0.82276,0.78516,0.89791,0.97252,0.00139438,0.00139438,0.00139438
12,94.7181,0.87717,0.88144,1.02829,0.98786,0.99874,0.995,0.7961,0.83258,0.70244,1.00793,0.00138718,0.00138718,0.00138718
13,102.498,0.89757,0.84484,1.03992,0.97636,0.99696,0.99319,0.78334,0.79918,0.74625,0.99263,0.00137933,0.00137933,0.00137933
14,110.286,0.89638,0.80996,1.02011,0.98912,0.99797,0.995,0.80461,0.83216,0.85345,1.02867,0.00137082,0.00137082,0.00137082
